Experiment,Post_processing,N,Dice,Accuracy,Precision,Recall,Pasta
Original,No,22,0.4697220576490216,0.9886051524768795,0.471651964251923,0.4908860608023048,results_original
Original,Yes,22,0.47203352097695994,0.9885215759276963,0.4710850342920434,0.49619323110452773,results_original
PP1,No,22,0.47445212360353484,0.9880511543967126,0.4625018764679502,0.5047225499131903,results_pp_1
PP1,Yes,22,0.47367631134214344,0.98774424466216,0.45689307348565206,0.5099297399090114,results_pp_1
PP2,No,22,0.44223294277332154,0.9872431321577211,0.4559382756763521,0.4518974944832003,results_pp_2
PP2,Yes,22,0.44212748424310794,0.9870159842750862,0.449821599801894,0.4576783143865483,results_pp_2
PP3,No,22,0.49984879698465395,0.9888229370116807,0.509300849956301,0.514934026406946,results_pp_3
PP3,Yes,22,0.499811289555306,0.9886561307039746,0.5057739557432543,0.5182824176737101,results_pp_3
PP4,No,22,0.3354954523837898,0.9801677357066385,0.309548433495812,0.3939276090939121,results_pp_4
PP4,Yes,22,0.33467277891594277,0.9794252569024838,0.30392312015104783,0.4032068171208332,results_pp_4
PP5,No,22,0.08632910887520115,0.9836120605468373,0.14956567770882667,0.06560636162769919,results_pp_5
PP5,Yes,22,0.09292169250872973,0.982659773393073,0.13987429898462686,0.0742972258599021,results_pp_5
