Experiment,Post_processing,N,Dice,Accuracy,Precision,Recall,Pasta
Original,No,22,0.4697220576490216,0.9886051524768795,0.471651964251923,0.4908860608023048,results_original
Original,Yes,22,0.4560477189649216,0.9837199124422562,0.3814977843687188,0.6017350368900678,results_original
PP1,No,22,0.47445212360353484,0.9880511543967126,0.4625018764679502,0.5047225499131903,results_pp_1
PP1,Yes,22,0.44559311689175324,0.982106122103567,0.3617912833937855,0.6092813988385811,results_pp_1
PP2,No,22,0.44223294277332154,0.9872431321577211,0.4559382756763521,0.4518974944832003,results_pp_2
PP2,Yes,22,0.43443142621008624,0.981752222234515,0.36048041319608226,0.5790017720408493,results_pp_2
PP3,No,22,0.49984879698465395,0.9888229370116807,0.509300849956301,0.514934026406946,results_pp_3
PP3,Yes,22,0.4812876743011044,0.9840719049626753,0.40469452353981733,0.6274642523291095,results_pp_3
PP4,No,22,0.3354954523837898,0.9801677357066385,0.309548433495812,0.3939276090939121,results_pp_4
PP4,Yes,22,0.3107811687667062,0.968390551480343,0.2338273751688015,0.5226582123895803,results_pp_4
PP5,No,22,0.08632910887520115,0.9836120605468373,0.14956567770882667,0.06560636162769919,results_pp_5
PP5,Yes,22,0.11348634334066648,0.977599057284231,0.11834389819993839,0.11734978610917084,results_pp_5
