Experiment,Post_processing,N,Dice,Accuracy,Precision,Recall,Pasta
Original,No,22,0.4697220576490216,0.9886051524768795,0.471651964251923,0.4908860608023048,results_original
Original,Yes,22,0.46719211692345436,0.9890866713089995,0.4768392556997949,0.4793247057190449,results_original
PP1,No,22,0.47445212360353484,0.9880511543967126,0.4625018764679502,0.5047225499131903,results_pp_1
PP1,Yes,22,0.4740023990301328,0.9886727766556792,0.47166685123717395,0.4927371978924993,results_pp_1
PP2,No,22,0.44223294277332154,0.9872431321577211,0.4559382756763521,0.4518974944832003,results_pp_2
PP2,Yes,22,0.4424410443856269,0.9878533103248909,0.47043621715801454,0.43922857887948985,results_pp_2
PP3,No,22,0.49984879698465395,0.9888229370116807,0.509300849956301,0.514934026406946,results_pp_3
PP3,Yes,22,0.5015186545357193,0.9894001700661018,0.5244624772141762,0.506256109521866,results_pp_3
PP4,No,22,0.3354954523837898,0.9801677357066385,0.309548433495812,0.3939276090939121,results_pp_4
PP4,Yes,22,0.342622045142098,0.9818833091041881,0.329804097956044,0.3786056044116197,results_pp_4
PP5,No,22,0.08632910887520115,0.9836120605468373,0.14956567770882667,0.06560636162769919,results_pp_5
PP5,Yes,22,0.07991166581548251,0.9847236980091062,0.1587490755872312,0.05796094846285929,results_pp_5
