Experiment,Post_processing,N,Dice,Accuracy,Precision,Recall,Pasta
Original,No,22,0.4697220576490216,0.9886051524768795,0.471651964251923,0.4908860608023048,results_original
Original,Yes,22,0.39427416658442294,0.9896776025945109,0.5348133874182593,0.3239303977690573,results_original
PP1,No,22,0.47445212360353484,0.9880511543967126,0.4625018764679502,0.5047225499131903,results_pp_1
PP1,Yes,22,0.41658361922716625,0.9898695512251039,0.553539152339827,0.34330568412945617,results_pp_1
PP2,No,22,0.44223294277332154,0.9872431321577211,0.4559382756763521,0.4518974944832003,results_pp_2
PP2,Yes,22,0.3628069325501397,0.9889512495560698,0.538983831496939,0.286293207389766,results_pp_2
PP3,No,22,0.49984879698465395,0.9888229370116807,0.509300849956301,0.514934026406946,results_pp_3
PP3,Yes,22,0.4177146449452913,0.9899449781937651,0.6080811194675092,0.3372783331943147,results_pp_3
PP4,No,22,0.3354954523837898,0.9801677357066385,0.309548433495812,0.3939276090939121,results_pp_4
PP4,Yes,22,0.2966101266890226,0.986097509210722,0.3998687873780094,0.24075523600472,results_pp_4
PP5,No,22,0.08632910887520115,0.9836120605468373,0.14956567770882667,0.06560636162769919,results_pp_5
PP5,Yes,22,0.04941929779433389,0.9862017198042057,0.1769530714172316,0.03047461550000321,results_pp_5
